11,195,302,578,956,1047,1166,2118,3955,4622,4554
20,362,1168,3622,8304,13197,18116,24758,34389,42451,45785
0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,5,3,4,3,4,6,11
0,0,0,0,0,0,0,0,0,0,0
1,6,8,9,21,44,58,92,128,175,226
0,0,0,0,0,0,0,0,0,0,0
0,8,28,69,134,178,245,395,588,796,982
0,0,0,0,0,0,0,0,0,0,0
0,4,8,27,40,53,75,115,177,224,276
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,4,6,8,12,21,28,45
0,0,0,0,0,0,0,0,0,0,0
10,158,632,1929,4233,6769,9279,12882,18253,22803,25938
0,0,0,0,0,0,0,0,0,0,0
0,0,3,12,19,26,36,47,64,76,92
0,0,0,0,0,0,0,0,0,0,0
0,21,68,212,460,679,925,1314,1894,2381,2795
0,0,0,0,0,0,0,0,0,0,0
2,33,76,226,740,1306,2054,3198,4154,5015,5481
0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,4,11,19,24,35,53,65
0,0,0,0,0,0,0,0,0,0,0
2,9,21,54,221,455,672,960,1170,1367,1475
0,0,0,0,0,0,0,0,0,0,0
0,1,4,15,27,42,62,109,163,234,288
0,0,0,0,0,0,0,0,0,0,0
0,0,2,6,9,12,15,26,42,53,78
0,0,0,0,0,0,0,0,0,0,0
1,26,62,189,414,684,987,1492,2092,2785,3222
0,0,0,0,0,0,0,0,0,0,0
0,3,3,11,23,45,92,183,272,367,379
0,0,0,0,0,0,0,0,0,0,0
1,3,10,24,56,90,115,203,265,355,376
0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,5,6,6,8,14,13,14
0,0,0,0,0,0,0,0,0,0,0
360,1445,4716,13852,28680,42917,60248,83975,113139,139111,154234
0,0,0,0,0,0,0,0,0,0,0
0,5,14,27,85,138,192,281,362,480,574
0,0,0,0,0,0,0,0,0,0,0
15,104,316,946,1866,2826,3852,5227,6932,8438,9657
0,0,0,0,0,0,0,0,0,0,0
0,1,2,5,11,13,22,28,57,69,81
0,0,0,0,0,0,0,0,0,0,0
0,3,18,43,130,294,440,601,726,847,924
0,0,0,0,0,0,0,0,0,0,0
0,3,16,39,91,153,225,348,567,784,968
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,2,6,2,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,6,8,15,22,31,41,67
0,0,0,0,0,0,0,0,0,0,0
1,27,76,211,509,794,1093,1566,2257,2876,3429
0,0,0,0,0,0,0,0,0,0,0
4,24,81,210,423,627,888,1222,1649,2006,2365
0,0,0,0,0,0,0,0,0,0,0
0,4,19,52,113,204,324,475,680,885,1113
0,0,0,0,0,0,0,0,0,0,0
38,442,2167,6107,12668,19295,26744,38133,53597,67427,76706
0,0,0,0,0,0,0,0,0,0,0
5,35,118,387,882,1356,1820,2625,3804,5190,6339
0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,6,6,11,18,28,34,52
0,0,0,0,0,0,0,0,0,0,0
4,99,445,1299,2933,4509,6312,9774,14102,19075,22953
0,0,0,0,0,0,0,0,0,0,0
6,101,290,1002,2229,3358,4543,6860,10313,13770,15855
0,0,0,0,0,0,0,0,0,0,0
1,4,14,45,99,143,209,347,478,600,718
0,0,0,0,0,0,0,0,0,0,0
4,66,344,1003,2295,3506,4894,7400,10693,14478,17279
0,0,0,0,0,0,0,0,0,0,0
29,781,1967,4448,8186,12054,16908,23347,33694,43982,51616
0,0,0,0,0,0,0,0,0,0,0
24,163,507,1313,2618,4045,5528,7748,11172,13659,16134
0,0,0,0,0,0,0,0,0,0,0
1,20,75,218,537,867,1439,2328,3458,4804,5918
0,0,0,0,0,0,0,0,0,0,0
1,35,82,251,476,766,1061,1648,2476,3316,3964
0,0,0,0,0,0,0,0,0,0,0
50,339,816,2441,4491,6854,9397,12615,18132,22544,24890
0,0,0,0,0,0,0,0,0,0,0
11,79,170,414,755,1069,1566,2353,3321,4162,5088
0,0,0,0,0,0,0,0,0,0,0
93,861,2511,7816,16156,24812,33564,44014,59440,70286,73092
0,0,0,0,0,0,0,0,0,0,0
6,50,154,546,1090,1702,2273,3053,3988,4866,5420
0,0,0,0,0,0,0,0,0,0,0
0,9,19,52,97,144,191,296,442,578,734
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,3,3,6,3,7
0,0,0,0,0,0,0,0,0,0,0
0,0,3,9,20,28,35,47,68,83,98
0,0,0,0,0,0,0,0,0,0,0
0,24,107,325,767,1242,1644,2424,3414,4502,5139
0,0,0,0,0,0,0,0,0,0,0
8,78,238,756,1821,2946,4084,6252,7992,9121,9868
0,0,0,0,0,0,0,0,0,0,0
1,17,40,108,238,464,810,1188,1603,2151,2606
0,0,0,0,0,0,0,0,0,0,0
0,0,4,10,34,48,70,112,173,283,364
0,0,0,0,0,0,0,0,0,0,0
0,2,4,6,22,27,33,56,75,109,143
0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,5,10,18,22,26,33,47
0,0,0,0,0,0,0,0,0,0,0
1,13,31,62,126,201,281,609,852,1164,1391
0,0,0,0,0,0,0,0,0,0,0
0,3,7,12,26,42,59,95,136,191,240
0,0,0,0,0,0,0,0,0,0,0
42,155,491,1139,2243,3303,4447,6264,8869,11385,13080
0,0,0,0,0,0,0,0,0,0,0
1,33,87,259,498,697,924,1344,1981,2595,2948
0,0,0,0,0,0,0,0,0,0,0
0,2,6,18,31,44,68,101,148,235,289
